feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	Site	Cecum	0.204946784269107	0.102811731625969	53	53	0.054531268344038	0.164432747622022
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Site	Proximal_Colon	-0.428602209826777	0.216405336156294	53	8	0.0560109547008186	0.166566259907931
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	Genotype	MUT	-2.12059427383406	1.02424256143222	53	53	0.0560886385404257	0.166566259907931
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__	Site	Proximal_Colon	-0.745721557721419	0.382301851143045	53	42	0.0596517276912352	0.175815618458377
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.003	Site	Cecum	0.29020266365444	0.149678344672007	53	9	0.0610746606396732	0.178666171423522
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	Genotype	HET	1.40032789146936	0.701917033179671	53	53	0.0645056197141201	0.183679860501529
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria	Site	Cecum	0.309903779809181	0.162151369013501	53	32	0.0646628080337015	0.183679860501529
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Fusicatenibacter	Site	Proximal_Colon	0.315916478578069	0.165029827577343	53	11	0.0642473218147041	0.183679860501529
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Site	Cecum	0.579949086482558	0.30215636621218	53	23	0.0635833801819665	0.183679860501529
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Site	Proximal_Colon	0.206587205735415	0.108717443440268	53	53	0.0661720727945622	0.186614766442218
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Genotype	HET	-1.39186751833046	0.712206758753172	53	50	0.069554249901405	0.193370680576956
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Site	Cecum	-0.350321434118068	0.186455566657885	53	53	0.069115104504058	0.193370680576956
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	Genotype	MUT	-1.93453168710047	0.998437677618443	53	36	0.0717843280893628	0.198165187401621
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	Site	Cecum	-0.4740963686848	0.257204473040936	53	39	0.074279571154583	0.203619523724451
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Site	Cecum	0.206808579251787	0.112770581834836	53	35	0.0756882814667795	0.206040321770678
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Genotype	MUT	-1.19558583903353	0.633177744889291	53	52	0.0785086352908629	0.212244034717367
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Harryflintia	Site	Cecum	0.656411832186977	0.366395365118547	53	13	0.0822270909248854	0.220774107140788
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	Site	Proximal_Colon	0.631693147235734	0.361407021008396	53	50	0.0898473845389318	0.239593025437151
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Genotype	MUT	-1.77629255394429	0.988450106415373	53	39	0.0933024488952116	0.247125405181912
k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__	Site	Cecum	0.606584787209272	0.352874188145181	53	46	0.0948872625928665	0.249636288163783
