SampleID,Sex,Genotype,Site,SampleType,MouseID,Litter,Breeder,Site_General,Subset
SLCLTDTT008,Female,HET,Proximal_Colon,Mucosal,282,one,110,Colon,Mucosal_Colon
SLCLTDTT014,Female,HET,Proximal_Colon,Mucosal,284,one,110,Colon,Mucosal_Colon
SLCLTDTT020,Female,HET,Proximal_Colon,Mucosal,288,three,111,Colon,Mucosal_Colon
SLCLTDTT092,Female,HET,Proximal_Colon,Mucosal,317,two,110,Colon,Mucosal_Colon
SLCLTDTT098,Female,HET,Proximal_Colon,Mucosal,340,seven,114,Colon,Mucosal_Colon
SLCLTDTT104,Female,HET,Proximal_Colon,Mucosal,342,seven,114,Colon,Mucosal_Colon
SLCLTDTT110,Female,HET,Proximal_Colon,Mucosal,341,seven,114,Colon,Mucosal_Colon
SLCLTDTT140,Female,HET,Proximal_Colon,Mucosal,336,ten,116,Colon,Mucosal_Colon
SLCLTDTT146,Female,HET,Proximal_Colon,Mucosal,325,eight,115,Colon,Mucosal_Colon
SLCLTFP002,Female,HET,Proximal_Colon,Luminal,274,five,112,Colon,Luminal_Colon
SLCLTFP008,Female,HET,Proximal_Colon,Luminal,282,one,110,Colon,Luminal_Colon
SLCLTFP014,Female,HET,Proximal_Colon,Luminal,284,one,110,Colon,Luminal_Colon
SLCLTFP020,Female,HET,Proximal_Colon,Luminal,288,three,111,Colon,Luminal_Colon
SLCLTFP092,Female,HET,Proximal_Colon,Luminal,317,two,110,Colon,Luminal_Colon
SLCLTFP098,Female,HET,Proximal_Colon,Luminal,340,seven,114,Colon,Luminal_Colon
SLCLTFP104,Female,HET,Proximal_Colon,Luminal,342,seven,114,Colon,Luminal_Colon
SLCLTFP110,Female,HET,Proximal_Colon,Luminal,341,seven,114,Colon,Luminal_Colon
SLCLTFP140,Female,HET,Proximal_Colon,Luminal,336,ten,116,Colon,Luminal_Colon
SLCLTFP146,Female,HET,Proximal_Colon,Luminal,325,eight,115,Colon,Luminal_Colon
SLCLTDTT038,Female,MUT,Proximal_Colon,Mucosal,275,five,112,Colon,Mucosal_Colon
SLCLTDTT044,Female,MUT,Proximal_Colon,Mucosal,273,five,112,Colon,Mucosal_Colon
SLCLTDTT116,Female,MUT,Proximal_Colon,Mucosal,337,seven,114,Colon,Mucosal_Colon
SLCLTDTT122,Female,MUT,Proximal_Colon,Mucosal,339,seven,114,Colon,Mucosal_Colon
SLCLTDTT152,Female,MUT,Proximal_Colon,Mucosal,324,eight,115,Colon,Mucosal_Colon
SLCLTDTT158,Female,MUT,Proximal_Colon,Mucosal,306,four,111,Colon,Mucosal_Colon
SLCLTFP038,Female,MUT,Proximal_Colon,Luminal,275,five,112,Colon,Luminal_Colon
SLCLTFP044,Female,MUT,Proximal_Colon,Luminal,273,five,112,Colon,Luminal_Colon
SLCLTFP116,Female,MUT,Proximal_Colon,Luminal,337,seven,114,Colon,Luminal_Colon
SLCLTFP122,Female,MUT,Proximal_Colon,Luminal,339,seven,114,Colon,Luminal_Colon
SLCLTFP152,Female,MUT,Proximal_Colon,Luminal,324,eight,115,Colon,Luminal_Colon
SLCLTFP158,Female,MUT,Proximal_Colon,Luminal,306,four,111,Colon,Luminal_Colon
SLCLTDTT056,Female,WT,Proximal_Colon,Mucosal,270,nine,116,Colon,Mucosal_Colon
SLCLTDTT062,Female,WT,Proximal_Colon,Mucosal,283,one,110,Colon,Mucosal_Colon
SLCLTDTT128,Female,WT,Proximal_Colon,Mucosal,307,eight,115,Colon,Mucosal_Colon
SLCLTDTT134,Female,WT,Proximal_Colon,Mucosal,309,six,113,Colon,Mucosal_Colon
SLCLTFP056,Female,WT,Proximal_Colon,Luminal,270,nine,116,Colon,Luminal_Colon
SLCLTFP062,Female,WT,Proximal_Colon,Luminal,283,one,110,Colon,Luminal_Colon
SLCLTFP128,Female,WT,Proximal_Colon,Luminal,307,eight,115,Colon,Luminal_Colon
SLCLTFP134,Female,WT,Proximal_Colon,Luminal,309,six,113,Colon,Luminal_Colon
SLCLTDTT026,Male,HET,Proximal_Colon,Mucosal,272,five,112,Colon,Mucosal_Colon
SLCLTDTT032,Male,HET,Proximal_Colon,Mucosal,289,three,111,Colon,Mucosal_Colon
SLCLTDTT164,Male,HET,Proximal_Colon,Mucosal,334,ten,116,Colon,Mucosal_Colon
SLCLTDTT170,Male,HET,Proximal_Colon,Mucosal,323,eight,115,Colon,Mucosal_Colon
SLCLTDTT176,Male,HET,Proximal_Colon,Mucosal,322,eight,115,Colon,Mucosal_Colon
SLCLTDTT182,Male,HET,Proximal_Colon,Mucosal,303,four,111,Colon,Mucosal_Colon
SLCLTFP026,Male,HET,Proximal_Colon,Luminal,272,five,112,Colon,Luminal_Colon
SLCLTFP032,Male,HET,Proximal_Colon,Luminal,289,three,111,Colon,Luminal_Colon
SLCLTFP164,Male,HET,Proximal_Colon,Luminal,334,ten,116,Colon,Luminal_Colon
SLCLTFP170,Male,HET,Proximal_Colon,Luminal,323,eight,115,Colon,Luminal_Colon
SLCLTFP176,Male,HET,Proximal_Colon,Luminal,322,eight,115,Colon,Luminal_Colon
SLCLTFP182,Male,HET,Proximal_Colon,Luminal,303,four,111,Colon,Luminal_Colon
SLCLTDTT050,Male,MUT,Proximal_Colon,Mucosal,331,eight,115,Colon,Mucosal_Colon
SLCLTFP050,Male,MUT,Proximal_Colon,Luminal,331,eight,115,Colon,Luminal_Colon
SLCLTDTT068,Male,WT,Proximal_Colon,Mucosal,269,nine,116,Colon,Mucosal_Colon
SLCLTDTT074,Male,WT,Proximal_Colon,Mucosal,267,nine,116,Colon,Mucosal_Colon
SLCLTDTT080,Male,WT,Proximal_Colon,Mucosal,266,nine,116,Colon,Mucosal_Colon
SLCLTFP068,Male,WT,Proximal_Colon,Luminal,269,nine,116,Colon,Luminal_Colon
SLCLTFP074,Male,WT,Proximal_Colon,Luminal,267,nine,116,Colon,Luminal_Colon
SLCLTFP080,Male,WT,Proximal_Colon,Luminal,266,nine,116,Colon,Luminal_Colon
